123 BUTLER STREET,11231,1
258 HERZL STREET,11212,4
1011 EAST 56 STREET,11234,28
10 GUNTHER PLACE,11233,2
194 COURT STREET,11201,10
1223 BUSHWICK AVENUE,N/A,2
303 HARMAN STREET,11237,35
1342 BERGEN STREET,11213,24
969 CARROLL STREET,11225,16
214 MOTHER GASTON BOULEVARD,11233,6
217 MONROE STREET,11216,2
842 BELMONT AVENUE,11208,1
349 LINDEN BOULEVARD,11203,4
2530 CROPSEY AVENUE,11214,1
1100 BEDFORD AVENUE,11216,1
2145 OCEAN AVENUE,11229,10
233 JEFFERSON STREET,11237,2
1509 PACIFIC STREET,N/A,1
102 STEUBEN STREET,11205,1
1793 TROY AVENUE,11234,1
112 MOFFAT STREET,11207,3
864 58 STREET,11220,3
2039 83 STREET,11214,2
510 PARK AVENUE,11205,1
465 OCEAN PARKWAY,11218,79
632 VERMONT STREET,11207,42
455 97 STREET,11209,1
3021 AVENUE I,11210,71
183 GRAHAM AVENUE,11206,1
9210 SKIDMORE AVENUE,11236,8
28 MORGAN AVENUE,11237,1
139 MARCUS GARVEY BOULEVARD,11206,1
65 KENILWORTH PLACE,11210,1
807 ST JOHNS PLACE,11216,2
647 PRESIDENT STREET,11215,9
655 HANCOCK STREET,11233,1
1423 DE KALB AVENUE,11237,9
264 MARTENSE STREET,11226,1
484 PROSPECT PLACE,11238,10
761 60 STREET,11220,1
470 63 STREET,11220,3
499 VANDERBILT AVENUE,11238,1
10 PATCHEN AVENUE,11221,17
109 3 AVENUE,11217,3
886 RUTLAND ROAD,11203,4
273 HALSEY STREET,11216,5
320 OCEAN PARKWAY,11218,83
6042 24 AVENUE,11204,1
1525 WEST 11 STREET,11204,48
1088 SUTTER AVENUE,11208,9
69 ELDERT STREET,11207,1
394 15 STREET,N/A,1
333 EAST 53 STREET,11203,8
241 HIMROD STREET,11237,1
629 OCEAN PARKWAY,11230,1
1701 PITKIN AVENUE,11212,4
480 MONTGOMERY STREET,11225,5
585 EAST 21 STREET,11226,21
1336 EAST 49 STREET,11234,5
968 MYRTLE AVENUE,11206,1
307 MALCOLM X BOULEVARD,N/A,2
577 5 AVENUE,11215,7
223 TROUTMAN STREET,11237,1
35 EAST 95 STREET,11212,6
302 ST NICHOLAS AVENUE,11237,2
2904 ATLANTIC AVENUE,11207,21
1086 BERGEN AVENUE,11234,2
160 SCHERMERHORN STREET,11201,1
794 MIDWOOD STREET,11203,12
1695 EAST 21 STREET,11210,13
961 EASTERN PARKWAY,11213,50
253 BAY 11 STREET,11228,4
133 LEFFERTS AVENUE,11225,8
424 ASHFORD STREET,11207,2
60 EAST 57 STREET,11203,1
305 OCEAN AVENUE,11225,99
1424 43 STREET,11219,13
1056 WILLOUGHBY AVENUE,11221,1
1473 PACIFIC STREET,11216,19
1230 AVENUE X,11235,80
980A GATES AVENUE,11221,1
1186 PARK PLACE,11213,1
3108 BRIGHTON 5 STREET,N/A,1
629 WILSON AVENUE,11207,6
602 OSBORN STREET,11212,2
148 COZINE AVENUE,11207,2
200 4 AVENUE,11217,5
243 13 STREET,11215,2
659 EAST 58 STREET,11234,5
1178 GATES AVENUE,11221,1
540 LAFAYETTE AVENUE,11205,1
114 ST NICHOLAS AVENUE,11237,2
661 SHEFFIELD AVENUE,11207,4
246 15 STREET,11215,1
960 ROGERS AVENUE,11226,1
438 GATES AVENUE,11216,1
324 EAST 31 STREET,11226,42
1717 59 STREET,11204,1
439 MONTAUK AVENUE,11208,33
782 EAST 32 STREET,11210,25
519 PARK PLACE,11238,1
